hugo	pfam_coord
ABCD4	{'ABC_tran': [404, 552], 'ABC_membrane_2': [14, 294]}
SIRPG	{'C1-set': [257, 339, '//', 154, 239], 'V-set': [31, 140]}
PPHLN1	{'Lge1': [234, 344]}
ZNF45	{'zf-C2H2': [192, 214], 'KRAB': [8, 48], 'zf-H2C2_2': [430, 455, '//', 626, 650, '//', 598, 622, '//', 318, 343, '//', 514, 539, '//', 290, 314, '//', 486, 511, '//', 402, 427, '//', 346, 371, '//', 458, 483, '//', 570, 595, '//', 542, 565, '//', 374, 397]}
MRPL55	{'Mitoc_L55': [7, 127]}
SIRPA	{'C1-set': [259, 343, '//', 156, 241], 'V-set': [33, 144]}
LCE2B	{'LCE': [6, 110]}
CELA2A	{'Trypsin': [29, 262]}
PLA2G2C	{'Phospholip_A2_1': [19, 142]}
ITGA3	{'VCBS': [315, 389], 'Integrin_alpha2': [462, 916]}
L3MBTL3	{'MBT': [268, 340, '//', 375, 447, '//', 479, 548], 'SAM_1': [706, 770]}
TMEM19	{'DUF92': [57, 325]}
HIST1H4L	{'Histone': [25, 94]}
RRBP1	{'Rib_recp_KP_reg': [33, 173]}
CENPP	{'CENP-P': [103, 279]}
TRAPPC9	{'TRAPPC9-Trs120': [1, 1108]}
TRAPPC8	{'TRAPPC-Trs85': [152, 605, '//', 1010, 1416]}
TMLHE	{'DUF971': [38, 134], 'TauD': [144, 404]}
TRAPPC3	{'TRAPP': [18, 168]}
TRAPPC2	{'Sedlin_N': [9, 136]}
PRPH	{'Filament_head': [12, 95], 'Filament': [96, 406]}
OR2AG2	{'7tm_4': [139, 283]}
GABRQ	{'Neur_chan_LBD': [59, 265], 'Neur_chan_memb': [272, 627]}
CSN2	{'Casein': [129, 212]}
CSN3	{'Casein_kappa': [21, 182]}
RHBG	{'Ammonium_transp': [25, 420]}
MTMR2	{'GRAM': [68, 139], 'Myotub-related': [191, 531]}
LIFR	{'fn3': [434, 523]}
ATL3	{'GBP_C': [312, 438], 'GBP': [36, 310]}
GAL3ST2	{'Gal-3-0_sulfotr': [1, 384]}
AGMAT	{'Arginase': [71, 344]}
ATL2	{'GBP_C': [343, 473], 'GBP': [70, 341]}
CYP2U1	{'p450': [101, 541]}
MRPL50	{'Ribosomal_L50': [58, 158]}
INVS	{'IQ': [917, 937, '//', 557, 576], 'Ank_2': [361, 453, '//', 427, 519, '//', 326, 420, '//', 18, 111, '//', 61, 142, '//', 186, 286, '//', 489, 550, '//', 108, 179]}
LILRB5	{'Ig_3': [323, 399], 'Ig_2': [28, 117, '//', 223, 316, '//', 123, 217]}
LILRB4	{'Ig_3': [123, 199], 'Ig_2': [28, 117]}
LILRB3	{'Ig_3': [324, 401], 'Ig_2': [28, 116, '//', 224, 317, '//', 123, 217]}
LILRB2	{'Ig_3': [324, 400, '//', 123, 200], 'Ig_2': [28, 116, '//', 224, 317]}
LILRB1	{'Ig_3': [325, 401, '//', 124, 203], 'Ig_2': [28, 118, '//', 225, 318]}
DGAT1	{'MBOAT': [154, 474]}
DGAT2	{'DAGAT': [92, 388]}
KIR2DS2	{'ig': [42, 102], 'Ig_2': [128, 220]}
MTCP1	{'TCL1_MTCP1': [1, 106]}
ANKUB1	{'Ank_2': [196, 302]}
GRAP2	{'SH3_1': [277, 322, '//', 4, 48], 'SH2': [58, 132]}
SOBP	{'SOBP': [224, 543]}
PSMG2	{'PAC2': [17, 226]}
PSMG3	{'DUF2372': [34, 121]}
KSR2	{'Pkinase_Tyr': [666, 928], 'KSR1-SAM': [24, 152]}
C6orf47	{'DUF4661': [16, 265]}
CHML	{'GDI': [177, 548, '//', 5, 83]}
GRAPL	{'SH3_1': [4, 50], 'SH2': [60, 114]}
POM121C	{'POM121': [293, 530]}
CNTFR	{'fn3': [205, 294]}
FHDC1	{'FH2': [88, 457]}
TACR3	{'7tm_1': [102, 356]}
TACR1	{'7tm_1': [49, 305]}
KCNH5	{'PAS_9': [24, 133], 'cNMP_binding': [568, 655], 'Ion_trans': [249, 467]}
KCNH4	{'PAS_9': [27, 135], 'cNMP_binding': [574, 671], 'Ion_trans': [265, 474]}
KCNH7	{'PAS_9': [28, 134], 'cNMP_binding': [763, 850], 'Ion_trans': [453, 662]}
KCNH6	{'PAS_9': [28, 134], 'cNMP_binding': [612, 699], 'Ion_trans': [302, 511]}
KCNH1	{'PAS_9': [30, 135], 'cNMP_binding': [599, 686], 'Ion_trans': [252, 498]}
KCNH3	{'PAS_9': [29, 135], 'cNMP_binding': [600, 687], 'Ion_trans': [263, 500]}
KCNH2	{'PAS_9': [28, 134], 'cNMP_binding': [760, 847], 'Ion_trans': [454, 659]}
PPIC	{'Pro_isomerase': [41, 199]}
SLC26A3	{'Sulfate_transp': [193, 471], 'Sulfate_tra_GLY': [58, 141], 'STAS': [526, 716]}
KCNH8	{'PAS_9': [27, 135], 'cNMP_binding': [569, 656], 'Ion_trans': [259, 469]}
PPTC7	{'SpoIIE': [71, 299]}
C1orf189	{'DUF4558': [14, 101]}
PRNT	{'PRNT': [44, 94]}
C1orf50	{'DUF2452': [25, 184]}
SLC28A3	{'Gate': [285, 385], 'Nucleos_tra2_N': [205, 279], 'Nucleos_tra2_C': [388, 613]}
ZNF296	{'zf-C2H2_4': [445, 468, '//', 157, 180], 'zf-C2H2_6': [111, 139], 'zf-H2C2_2': [245, 270, '//', 400, 425]}
C9orf116	{'DUF4490': [1, 107]}
C9orf114	{'Methyltrn_RNA_3': [74, 365]}
SLC28A1	{'Gate': [263, 391], 'Nucleos_tra2_N': [183, 257], 'Nucleos_tra2_C': [366, 591]}
EEF1G	{'GST_C': [106, 198], 'GST_N': [2, 81], 'EF1G': [275, 381]}
PRNP	{'Prion': [134, 252], 'Prion_bPrPp': [1, 28]}
LIN37	{'LIN37': [65, 241]}
CYP11B2	{'p450': [42, 499]}
NDUFAF5	{'Methyltransf_11': [94, 186]}
KIAA0586	{'TALPID3': [100, 1343]}
NDUFAF7	{'Methyltransf_28': [100, 354]}
FOXM1	{'Fork_head': [236, 328]}
NDUFAF3	{'DUF498': [60, 168]}
NDUFAF2	{'NDUFA12': [20, 130]}
OR2H2	{'7tm_4': [137, 281]}
OR2H1	{'7tm_4': [137, 281]}
CDKAL1	{'TRAM': [431, 492], 'Radical_SAM': [208, 381], 'UPF0004': [65, 153]}
GDAP2	{'CRAL_TRIO_2': [338, 482], 'Macro': [72, 185]}
GDAP1	{'GST_N_3': [28, 105], 'GST_C_2': [168, 282]}
C16orf89	{'GVQW': [323, 370]}
FAHD1	{'FAA_hydrolase': [18, 220]}
ZSWIM7	{'SWIM': [66, 113]}
AP3D1	{'BLVR': [660, 807], 'Adaptin_N': [32, 583]}
ICMT	{'ICMT': [162, 257]}
PTTG1	{'Securin': [1, 193]}
DIP2C	{'AMP-binding': [976, 1450, '//', 324, 800], 'DMAP_binding': [7, 120]}
ILDR2	{'LSR': [186, 234]}
ILDR1	{'LSR': [167, 215]}
FAM71E2	{'DUF3699': [93, 169]}
ZSWIM3	{'SWIM': [531, 572], 'MULE': [222, 315]}
SULT1A1	{'Sulfotransfer_1': [38, 288]}
WARS2	{'tRNA-synt_1b': [30, 315]}
BARX2	{'Homeobox': [134, 190]}
PRND	{'Prion': [63, 176], 'Doppel': [1, 30]}
CABYR	{'RIIa': [12, 49]}
BARX1	{'Homeobox': [143, 199]}
SH2B2	{'Phe_ZIP': [21, 79], 'SH2': [417, 494], 'PH': [194, 306]}
CHTF18	{'AAA': [370, 464]}
SAR1B	{'Arf': [12, 197]}
NOL6	{'Nrap': [165, 1140]}
OLIG2	{'HLH': [109, 163]}
OLIG3	{'HLH': [84, 138]}
SPATA5L1	{'AAA': [237, 368, '//', 501, 652]}
NIPSNAP1	{'NIPSNAP': [185, 282]}
IRX6	{'Homeobox_KN': [164, 203]}
FAM156B	{'PGC7_Stella': [1, 174]}
FAM156A	{'PGC7_Stella': [1, 174]}
PHF17	{'EPL1': [29, 181], 'PHD_2': [217, 251], 'zf-HC5HC2H_2': [256, 368]}
DCAKD	{'CoaE': [2, 183]}
TMEM70	{'DUF1301': [106, 240]}
RAB7L1	{'Ras': [9, 175]}
CDC45	{'CDC45': [18, 566]}
TMEM51	{'TMEM51': [6, 240]}
CDC40	{'WD40': [322, 360, '//', 278, 317, '//', 408, 446, '//', 540, 579, '//', 509, 536, '//', 364, 404]}
CDC42	{'Ras': [5, 178]}
NADSYN1	{'NAD_synthase': [336, 651], 'CN_hydrolase': [6, 201]}
PGLYRP3	{'Amidase_2': [192, 328, '//', 37, 198]}
PGLYRP2	{'Amidase_2': [394, 534]}
PGLYRP1	{'Amidase_2': [47, 182]}
GGNBP1	{'Ubiquitin_3': [7, 108]}
CHAF1B	{'WD40': [119, 157, '//', 57, 94, '//', 161, 199, '//', 10, 45, '//', 339, 372], 'CAF-1_p60_C': [381, 558]}
C12orf42	{'DUF4607': [96, 360]}
BIN1	{'SH3_9': [527, 590], 'BAR': [18, 269]}
BIN3	{'BAR': [10, 225]}
RGS22	{'RGS': [852, 978, '//', 1021, 1142, '//', 665, 785]}
RGS21	{'RGS': [21, 136]}
RGS20	{'RGS': [262, 377]}
DPYD	{'DHO_dh': [532, 838], 'Fer4_21': [946, 1004], 'Fer4_20': [55, 168], 'NAD_binding_8': [193, 245]}
FAM47E	{'FAM47': [1, 205]}
UBTF	{'HMG_box': [112, 180, '//', 407, 471, '//', 196, 264], 'HMG_box_5': [479, 563], 'HMG_box_2': [295, 361]}
DCLRE1C	{'Lactamase_B_2': [5, 194], 'DRMBL': [239, 345]}
DPYS	{'Amidohydro_1': [58, 407]}
CDCA7	{'zf-4CXXC_R1': [261, 361]}
CDCA4	{'SERTA': [37, 74]}
CDCA5	{'Sororin': [89, 215]}
TIMM50	{'NIF': [148, 295]}
PIN4	{'Rotamase_3': [21, 131]}
GFAP	{'Filament': [68, 376]}
STEAP1B	{'Ferric_reduct': [99, 245]}
UTS2	{'Urotensin_II': [113, 124]}
ATP6V0A2	{'V_ATPase_I': [26, 843]}
CRB1	{'hEGF': [133, 145], 'Laminin_G_2': [514, 651, '//', 980, 1105, '//', 743, 860], 'EGF': [190, 220, '//', 152, 182, '//', 1143, 1173, '//', 74, 105, '//', 343, 393, '//', 228, 258, '//', 676, 706, '//', 1181, 1210, '//', 305, 335, '//', 891, 920, '//', 401, 424, '//', 1301, 1331, '//', 445, 479]}
RSF1	{'WHIM1': [98, 148], 'WHIM2': [150, 182], 'WHIM3': [188, 409], 'PHD': [893, 941]}
ALKBH6	{'2OG-FeII_Oxy_2': [50, 224]}
KCNF1	{'Ion_trans': [224, 405], 'BTB_2': [25, 126]}
SRRD	{'SRR1': [140, 195]}
CRB2	{'hEGF': [305, 317], 'Laminin_G_2': [465, 588, '//', 900, 1033], 'EGF': [811, 841, '//', 112, 142, '//', 362, 392, '//', 324, 354, '//', 1060, 1090, '//', 150, 180, '//', 227, 257]}
MMP7	{'PG_binding_1': [28, 82], 'Peptidase_M10': [103, 259]}
PCDH18	{'Cadherin': [251, 345, '//', 470, 567, '//', 367, 456, '//', 142, 237, '//', 586, 676], 'Cadherin_2': [28, 113]}
SASH1	{'SH3_2': [558, 613], 'SAM_1': [632, 695], 'SLY': [399, 555], 'SAM_2': [1174, 1239]}
CT47A7	{'CT47': [1, 279]}
TCL1B	{'TCL1_MTCP1': [1, 125]}
TCL1A	{'TCL1_MTCP1': [1, 113]}
ALKBH5	{'2OG-FeII_Oxy_2': [90, 296]}
CT47A3	{'CT47': [1, 279]}
ZNF106	{'WD40': [1561, 1602, '//', 1523, 1557, '//', 1690, 1725, '//', 1771, 1804, '//', 1730, 1766, '//', 1649, 1686]}
CT47A1	{'CT47': [1, 279]}
RAB8B	{'Ras': [10, 171]}
CYB5A	{'Cyt-b5': [11, 85]}
CYB5B	{'Cyt-b5': [22, 96]}
CT47A8	{'CT47': [1, 279]}
IGDCC3	{'I-set': [330, 417, '//', 42, 134, '//', 139, 227, '//', 238, 321], 'fn3': [425, 510, '//', 522, 606]}
TMEM63A	{'DUF221': [350, 693], 'RSN1_TM': [50, 214], 'DUF4463': [262, 332]}
SYTL5	{'C2': [589, 678, '//', 423, 511], 'FYVE_2': [11, 124]}
SYTL4	{'C2': [528, 617, '//', 373, 462], 'FYVE_2': [8, 123]}
FRG1B	{'FRG1': [15, 181]}
AS3MT	{'Methyltransf_31': [68, 245]}
SYTL3	{'C2': [323, 412, '//', 482, 571], 'FYVE_2': [8, 124]}
SYTL2	{'C2': [645, 734, '//', 794, 881], 'FYVE_2': [5, 59]}
OR51Q1	{'7tm_4': [143, 287]}
FAM205A	{'FAM75': [449, 640, '//', 413, 498], 'DUF4599': [51, 138]}
SPRED1	{'Sprouty': [332, 437], 'WH1': [10, 120]}
SPRED2	{'Sprouty': [306, 411], 'WH1': [7, 119]}
OR10K2	{'7tm_4': [139, 283]}
OR10K1	{'7tm_4': [139, 283]}
ISX	{'Homeobox': [83, 139]}
TNNC2	{'EF-hand_8': [31, 83, '//', 107, 158], 'EF-hand_7': [93, 156]}
C8orf58	{'DUF4657': [73, 364]}
ASTL	{'Astacin': [92, 283]}
PRL	{'Hormone_1': [15, 227]}
PLEKHH2	{'PH': [704, 797], 'FERM_M': [1226, 1354], 'MyTH4': [997, 1110]}
PLEKHH1	{'PH': [579, 672], 'FERM_M': [1101, 1230], 'MyTH4': [874, 986]}
RELT	{'RELT': [163, 211]}
GUK1	{'Guanylate_kin': [3, 188]}
ESRP2	{'RRM_6': [477, 549, '//', 360, 432, '//', 259, 328]}
ESRP1	{'RRM_6': [328, 400, '//', 447, 519, '//', 227, 296]}
RELN	{'hEGF': [2870, 2882, '//', 2147, 2159], 'Reeler': [39, 171]}
RELB	{'RHD': [127, 295]}
RELA	{'RHD': [21, 186]}
HDGF	{'PWWP': [10, 92]}
PRX	{'PDZ': [18, 85]}
ZMPSTE24	{'Peptidase_M48': [202, 468]}
MRPL36	{'Ribosomal_L36': [66, 103]}
MRPL37	{'PDCD9': [89, 422]}
MRPL35	{'Ribosomal_L35p': [102, 162]}
MRPL32	{'Ribosomal_L32p': [79, 137]}
GLRA3	{'Neur_chan_LBD': [44, 253], 'Neur_chan_memb': [260, 381]}
MRPL30	{'Ribosomal_L30': [66, 117]}
CARD9	{'CARD': [11, 97]}
CLEC17A	{'Lectin_C': [271, 374]}
PTH2R	{'7tm_2': [141, 409], 'HRM': [60, 128]}
MRPL38	{'PBP': [170, 320]}
KRT78	{'Filament': [110, 423]}
FAM69C	{'PIP49_C': [187, 385], 'PIP49_N': [25, 169]}
KLK1	{'Trypsin': [25, 254]}
KLK2	{'Trypsin': [25, 253]}
KLK4	{'Trypsin': [31, 247]}
KLK5	{'Trypsin': [67, 285]}
KLK7	{'Trypsin': [30, 245]}
KLK8	{'Trypsin': [33, 252]}
THOC7	{'THOC7': [7, 140]}
THOC6	{'WD40': [158, 196]}
THOC5	{'FimP': [96, 453]}
ORM1	{'Lipocalin': [40, 180]}
ZNF844	{'KRAB': [4, 44], 'zf-H2C2_2': [239, 264, '//', 267, 291, '//', 212, 236, '//', 295, 320, '//', 153, 180]}
FAM109A	{'PH': [18, 113]}
RHBDL1	{'Rhomboid': [239, 396]}
PARP16	{'PARP': [90, 273]}
HSD3B7	{'3Beta_HSD': [13, 291]}
RNF103	{'zf-RING_2': [619, 663]}
WHSC1	{'HMG_box': [455, 508], 'PWWP': [220, 332, '//', 878, 968], 'SET': [1074, 1180], 'PHD': [833, 875]}
CD300C	{'V-set': [22, 137]}
YWHAG	{'14-3-3': [4, 241]}
CD300A	{'V-set': [15, 132], 'SIT': [180, 278]}
TMEM86A	{'YhhN': [37, 224]}
FOXP3	{'Fork_head': [337, 426]}
COPS8	{'PCI_Csn8': [31, 170]}
FOXP1	{'Fork_head': [465, 555]}
RCCD1	{'RCC1': [176, 225, '//', 318, 369]}
IL10RA	{'Tissue_fac': [2, 111]}
FOXP4	{'Fork_head': [467, 555]}
MSL3	{'Tudor-knot': [11, 74], 'MRG': [136, 504]}
COPS3	{'PCI': [258, 362]}
SAA4	{'SAA': [21, 130]}
COPS6	{'JAB': [36, 148], 'MitMem_reg': [193, 309]}
COPS5	{'JAB': [50, 164]}
YTHDF2	{'YTH': [409, 547]}
YTHDF1	{'YTH': [388, 526]}
KTI12	{'KTI12': [1, 350]}
ERI1	{'SAP': [76, 110], 'RNase_T': [131, 306]}
GBA2	{'GBA2_N': [151, 455], 'DUF608': [521, 888]}
MYCN	{'Myc_N': [8, 372], 'HLH': [382, 434]}
ZFR2	{'zf-met': [271, 295, '//', 319, 343, '//', 468, 492], 'DZF': [658, 904]}
EDARADD	{'Death': [121, 199]}
PLCH2	{'C2': [760, 852], 'EF-hand_7': [167, 235], 'EF-hand_like': [243, 325], 'PI-PLC-X': [328, 472], 'PI-PLC-Y': [625, 740]}
TKT	{'Transketolase_N': [14, 304], 'Transket_pyr': [313, 478], 'Transketolase_C': [490, 612]}
PLCH1	{'C2': [734, 826], 'EF-hand_7': [138, 208], 'EF-hand_like': [216, 298], 'PI-PLC-X': [301, 445], 'PI-PLC-Y': [600, 714]}
VEZF1	{'zf-C2H2': [74, 94], 'zf-C2H2_4': [261, 284], 'zf-H2C2_2': [188, 213, '//', 216, 243]}
SMARCA1	{'Helicase_C': [520, 612], 'SLIDE': [912, 1028], 'HAND': [758, 856], 'SNF2_N': [186, 466], 'DBINO': [42, 119]}
NLK	{'Pkinase': [138, 427]}
TMEM45A	{'DUF716': [118, 242]}
FAM135A	{'DUF3657': [111, 173, '//', 312, 369], 'DUF676': [1244, 1440]}
FAM214A	{'Chromosome_seg': [1017, 1075], 'DUF4210': [878, 936]}
TMEM45B	{'DUF716': [112, 236]}
IGF2	{'IGF2_C': [112, 166], 'Insulin': [54, 84, '//', 30, 62]}
NUDT9	{'NUDIX': [181, 334]}
IGF1	{'Insulin': [51, 109]}
DLD	{'Pyr_redox_2': [43, 361], 'Pyr_redox_dim': [389, 498], 'Pyr_redox': [215, 299]}
NUDT1	{'NUDIX': [45, 171]}
NUDT2	{'NUDIX': [2, 137]}
NUDT3	{'NUDIX': [17, 145]}
NUDT4	{'NUDIX': [18, 143]}
NUDT5	{'NUDIX': [58, 192]}
NUDT6	{'NUDIX': [142, 273]}
TFPI	{'Kunitz_BPTI': [216, 268, '//', 124, 176, '//', 53, 105]}
TWSG1	{'Tsg': [84, 223]}
SEPN1	{'GVQW': [105, 152]}
PVR	{'C2-set_2': [147, 232], 'V-set': [28, 141], 'ig': [259, 314]}
TK2	{'dNK': [113, 256]}
GJA4	{'Connexin': [3, 109], 'Connexin_CCC': [165, 231]}
OR2B11	{'7tm_4': [143, 287]}
TK1	{'TK': [19, 189]}
PHLDB1	{'PH': [1257, 1368]}
COL16A1	{'Collagen': [1008, 1075, '//', 666, 726, '//', 1470, 1526, '//', 786, 843, '//', 571, 635, '//', 371, 426, '//', 880, 944, '//', 1524, 1581]}
PHLDB3	{'PH': [533, 634]}
NTHL1	{'HhH-GPD': [134, 272], 'HHH': [199, 228]}
LARS	{'Anticodon_1': [794, 928], 'tRNA-synt_1': [165, 756, '//', 19, 111]}
HPCAL4	{'EF-hand_1': [64, 92], 'EF-hand_5': [101, 125], 'EF-hand_7': [96, 175]}
ATP11B	{'Hydrolase': [401, 833], 'E1-E2_ATPase': [93, 371]}
SST	{'Somatostatin': [99, 116]}
CBY3	{'Chibby': [81, 205]}
OPN1MW2	{'7tm_1': [70, 322]}
CYP27A1	{'p450': [61, 526]}
DDRGK1	{'DDRGK': [115, 303]}
MSLN	{'Mesothelin': [1, 630]}
FBXL20	{'F-box-like': [26, 71], 'LRR_6': [324, 348, '//', 142, 166, '//', 168, 192, '//', 220, 244, '//', 246, 270, '//', 116, 140]}
LCORL	{'HTH_psq': [526, 571, '//', 277, 314]}
FBXL22	{'F-box-like': [6, 49]}
ZNF337	{'zf-C2H2': [488, 510], 'KRAB': [12, 52], 'zf-H2C2_2': [390, 415, '//', 699, 724, '//', 278, 303, '//', 530, 554, '//', 250, 275, '//', 418, 443, '//', 642, 666, '//', 306, 331, '//', 558, 582, '//', 334, 359, '//', 362, 387, '//', 446, 471, '//', 222, 246, '//', 586, 610, '//', 614, 638, '//', 670, 696]}
EPHX3	{'Abhydrolase_6': [100, 349]}
FAM168B	{'TCRP1': [1, 195]}
ZNF330	{'NOA36': [1, 313]}
ZNF331	{'KRAB': [6, 46], 'zf-H2C2_2': [201, 226, '//', 173, 197, '//', 341, 366, '//', 285, 310, '//', 145, 169, '//', 369, 394, '//', 313, 337, '//', 229, 254, '//', 257, 282, '//', 397, 422, '//', 425, 450]}
TEX15	{'TEX15': [1534, 1770, '//', 1903, 2115]}
RPLP2	{'Ribosomal_60s': [17, 114]}
RPLP0	{'Ribosomal_L10': [5, 106], 'Ribosomal_60s': [231, 316]}
TEX11	{'SPO22': [189, 447]}
TEX10	{'Ipi1_N': [130, 235]}
TEX12	{'TEX12': [24, 123]}
CSMD2	{'Sushi': [2835, 2888, '//', 3012, 3065, '//', 3131, 3185, '//', 2716, 2769, '//', 2123, 2178, '//', 2774, 2827, '//', 521, 574, '//', 2294, 2351, '//', 2952, 3007, '//', 3070, 3123, '//', 3190, 3245, '//', 2893, 2947, '//', 2589, 2653, '//', 1211, 1267, '//', 139, 196, '//', 343, 400, '//', 1909, 1964, '//', 2658, 2711, '//', 867, 920, '//', 2531, 2588, '//', 1039, 1094, '//', 1732, 1792, '//', 691, 748, '//', 1385, 1441, '//', 1558, 1615, '//', 2468, 2526], 'CUB': [1445, 1550, '//', 752, 857, '//', 578, 683, '//', 1968, 2073, '//', 1796, 1901, '//', 405, 513, '//', 1098, 1203, '//', 26, 131, '//', 202, 303, '//', 1271, 1377, '//', 2355, 2463, '//', 2182, 2286, '//', 924, 1031, '//', 1619, 1724]}
CD300LF	{'V-set': [19, 125], 'SIT': [157, 260]}
CD300LD	{'V-set': [18, 130]}
CD300LB	{'V-set': [15, 121]}
LRRC3B	{'LRR_8': [64, 113], 'LRR_1': [114, 136], 'LRRNT': [33, 63]}
LRRC3C	{'LRR_8': [81, 140]}
ECD	{'SGT1': [13, 597]}
NOTCH2NL	{'EGF_CA': [143, 186], 'EGF': [69, 101, '//', 29, 61, '//', 109, 139]}
GPATCH11	{'DUF4187': [191, 258], 'G-patch': [70, 113]}
AEBP2	{'zf-H2C2_2': [315, 341]}
IPPK	{'Ins_P5_2-kin': [13, 458]}
CIB3	{'EF-hand_7': [104, 173]}
NDFIP1	{'DUF2370': [14, 173, '//', 169, 216]}
CIB4	{'EF-hand_7': [99, 168]}
THYN1	{'EVE': [55, 219]}
ZNF804B	{'zf-C2H2_jaz': [54, 82]}
TTC29	{'TPR_2': [182, 214], 'TPR_12': [309, 384]}
ARID3A	{'ARID': [236, 326]}
TRIO	{'RhoGEF': [1973, 2144, '//', 1296, 1466], 'SH3_1': [1662, 1713], 'Spectrin': [340, 446, '//', 1138, 1244, '//', 907, 1011, '//', 566, 672], 'I-set': [2685, 2776], 'CRAL_TRIO_2': [72, 211], 'Pkinase': [2796, 3050]}
MTMR12	{'3-PAP': [559, 691], 'Myotub-related': [308, 503, '//', 180, 295]}
RPS6KL1	{'Pkinase': [378, 539], 'MIT': [49, 117]}
MTMR10	{'3-PAP': [573, 710], 'Myotub-related': [332, 514, '//', 174, 336]}
UGDH	{'UDPG_MGDP_dh': [213, 310], 'UDPG_MGDP_dh_C': [332, 447], 'UDPG_MGDP_dh_N': [5, 195]}
RABL2A	{'Ras': [23, 179]}
CELSR2	{'Cadherin': [404, 496, '//', 717, 806, '//', 294, 390, '//', 820, 912, '//', 510, 601, '//', 186, 280, '//', 926, 1014, '//', 615, 703], 'DUF3497': [2044, 2290], 'Laminin_EGF': [1924, 1970], '7tm_2': [2373, 2605], 'Laminin_G_2': [1395, 1554, '//', 1644, 1770], 'EGF': [1578, 1608], 'GPS': [2315, 2363]}
CELSR1	{'HRM': [2052, 2107], 'Cadherin': [794, 883, '//', 464, 556, '//', 897, 990, '//', 358, 450, '//', 1005, 1092, '//', 570, 678, '//', 692, 780, '//', 250, 344], 'DUF3497': [2122, 2382], 'Laminin_EGF': [2003, 2049], '7tm_2': [2465, 2697], 'Laminin_G_2': [1470, 1629, '//', 1719, 1849], 'EGF': [1653, 1683, '//', 1407, 1439], 'GPS': [2407, 2455]}
RABL2B	{'Ras': [23, 179]}
PTCHD4	{'Patched': [140, 812]}
PTCHD2	{'Patched': [407, 783], 'MMPL': [1170, 1359]}
PTCHD1	{'Patched': [49, 851]}
TSEN54	{'tRNA_int_end_N2': [62, 132]}
NEK6	{'Pkinase': [45, 306]}
RAB27A	{'Ras': [11, 183]}
LRRC38	{'LRR_8': [128, 187], 'LRR_1': [81, 103], 'LRRNT': [27, 55], 'LRR_6': [104, 126]}
GTF3C3	{'TPR_8': [456, 489], 'TPR_1': [812, 840], 'TPR_11': [215, 283]}
CYP24A1	{'p450': [58, 512]}
ZFP36L2	{'Tis11B_N': [1, 144], 'zf-CCCH': [192, 218, '//', 154, 180]}
MGST3	{'MAPEG': [11, 134]}
LRRC30	{'LRR_1': [233, 254], 'LRR_4': [140, 180, '//', 71, 115]}
LRRC31	{'LRR_1': [453, 498], 'LRR_6': [337, 360]}
LRRC32	{'LRR_8': [149, 209, '//', 49, 109, '//', 124, 185, '//', 515, 573], 'LRR_1': [316, 338, '//', 387, 409], 'LRRNT': [21, 48]}
LRRC33	{'LRR_8': [157, 217, '//', 328, 388, '//', 376, 438], 'LRR_1': [133, 159, '//', 559, 579], 'LRR_7': [536, 552]}
CGNL1	{'Myosin_tail_1': [1060, 1259]}
MFN2	{'Dynamin_N': [99, 259], 'Fzo_mitofusin': [586, 756]}
MFN1	{'Dynamin_N': [78, 238], 'Fzo_mitofusin': [567, 737]}
ZNF33B	{'KRAB': [12, 52], 'zf-H2C2_2': [371, 396, '//', 399, 424, '//', 539, 564, '//', 735, 760, '//', 595, 618, '//', 427, 450, '//', 679, 704, '//', 343, 368, '//', 455, 478, '//', 483, 508, '//', 567, 592, '//', 623, 646, '//', 651, 674, '//', 511, 534]}
ZNF33A	{'zf-C2H2': [720, 742], 'KRAB': [12, 52], 'zf-H2C2_2': [370, 395, '//', 594, 619, '//', 342, 367, '//', 538, 563, '//', 398, 421, '//', 734, 759, '//', 454, 479, '//', 426, 450, '//', 566, 591, '//', 650, 673, '//', 622, 645, '//', 678, 703, '//', 510, 533, '//', 482, 507]}
NEK7	{'Pkinase': [34, 292]}
FAM117B	{'FAM117': [215, 533]}
TTC23	{'TPR_2': [137, 170], 'TPR_12': [310, 387]}
THTPA	{'CYTH': [5, 197]}
FAM166B	{'DUF2475': [15, 78, '//', 234, 270, '//', 177, 235]}
MAD2L2	{'HORMA': [12, 184]}
MAD2L1	{'HORMA': [12, 191]}
SVIL	{'Gelsolin': [1453, 1522, '//', 1766, 1856], 'VHP': [2179, 2214]}
TCEB3	{'Med26': [54, 103], 'Elongin_A': [592, 695]}
PRKCQ	{'Pkinase_C': [654, 700], 'C1_1': [232, 284, '//', 160, 212], 'Pkinase': [380, 634]}
SLC39A6	{'Zip': [322, 743]}
APOA4	{'Apolipoprotein': [60, 247, '//', 235, 393]}
C20orf196	{'DUF4521': [1, 205]}
POR	{'Flavodoxin_1': [82, 219], 'FAD_binding_1': [274, 493], 'NAD_binding_1': [530, 641]}
CLCNKB	{'CBS': [623, 679, '//', 547, 605], 'Voltage_CLC': [102, 514]}
LRP2BP	{'TPR_8': [59, 90], 'Sel1': [134, 168, '//', 207, 242, '//', 90, 120, '//', 297, 332, '//', 173, 206]}
OR5D13	{'7tm_4': [141, 285]}
CCDC169	{'DUF4600': [53, 182]}
GPRASP2	{'Arm_2': [584, 838]}
KRTAP6-2	{'KRTAP': [1, 62]}
